Date          Steps
2023-05-15     12464
2023-05-16     3895
2023-05-17     11021
2023-05-18     3115
2023-05-19     12315
2023-05-20     9594
2023-05-21     6286
2023-05-22     3739
2023-05-23     5333
2023-05-24     12446
2023-05-25     7715
2023-05-26     8531
2023-05-27     10991
2023-05-28     4932
2023-05-29     4622
2023-05-30     1120
2023-05-31     12560
2023-06-01     12309
2023-06-02     6754
2023-06-03     9393
2023-06-04     1434
2023-06-05     7570
2023-06-06     2287
2023-06-07     6703
2023-06-08     8588
2023-06-09     10462
2023-06-10     9572
2023-06-11     14529
2023-06-12     5818
2023-06-13     5763
2023-06-14     6682
2023-06-15     13866
2023-06-16     14462
2023-06-17     11674
2023-06-18     9141
2023-06-19     7652
2023-06-20     2734
2023-06-21     10720
2023-06-22     13170
2023-06-23     12292
2023-06-24     9455
2023-06-25     10758
2023-06-26     14273
2023-06-27     6600
2023-06-28     10603
2023-06-29     9003
2023-06-30     10930
2023-07-01     12758
2023-07-02     3959
2023-07-03     11159
2023-07-04     6366
2023-07-05     13399
2023-07-06     4273
2023-07-07     10346
2023-07-08     2876
2023-07-09     11205
2023-07-10     9925
2023-07-11     8095
2023-07-12     12765
2023-07-13     8361
2023-07-14     9795
2023-07-15     3789
2023-07-16     4561
2023-07-17     3951
2023-07-18     10174
2023-07-19     5572
2023-07-20     1154
2023-07-21     5445
2023-07-22     4018
2023-07-23     4722
2023-07-24     10803
2023-07-25     7106
2023-07-26     1553
2023-07-27     12376
2023-07-28     13267
2023-07-29     6776
2023-07-30     12445
2023-07-31     14543
2023-08-01     8867
2023-08-02     2463
2023-08-03     7869
2023-08-04     2461
2023-08-05     2118
2023-08-06     2739
2023-08-07     11846
2023-08-08     4266
2023-08-09     6545
2023-08-10     11055
2023-08-11     6637
2023-08-12     12582
2023-08-13     5982
2023-08-14     7044
2023-08-15     11283
2023-08-16     13036
2023-08-17     10987
2023-08-18     11755
2023-08-19     3130
2023-08-20     12798
2023-08-21     14100
2023-08-22     1612
2023-08-23     6449
2023-08-24     5847
2023-08-25     8358
2023-08-26     14774
2023-08-27     9520
2023-08-28     3020
2023-08-29     10956
2023-08-30     5822
2023-08-31     1592
2023-09-01     9707
2023-09-02     9004
2023-09-03     4624
2023-09-04     3563
2023-09-05     8354
2023-09-06     5947
2023-09-07     9963
2023-09-08     6062
2023-09-09     3923
2023-09-10     7864
2023-09-11     2642
2023-09-12     7913
2023-09-13     11893
2023-09-14     5526
2023-09-15     12967
2023-09-16     13847
2023-09-17     13810
2023-09-18     3627
2023-09-19     5550
2023-09-20     2415
2023-09-21     12303
2023-09-22     7193
2023-09-23     7333
2023-09-24     6109
2023-09-25     13716
2023-09-26     10172
2023-09-27     4940
2023-09-28     2160
2023-09-29     9957
2023-09-30     9700
2023-10-01     5535
2023-10-02     11274
2023-10-03     10370
2023-10-04     11880
2023-10-05     7250
2023-10-06     10114
2023-10-07     10324
2023-10-08     13203
2023-10-09     1131
2023-10-10     8485
2023-10-11     1461
2023-10-12     12856
2023-10-13     6041
2023-10-14     8201
2023-10-15     11446
2023-10-16     1523
2023-10-17     10969
2023-10-18     7612
2023-10-19     6911
2023-10-20     9397
2023-10-21     8964
2023-10-22     8799
2023-10-23     3898
2023-10-24     8295
2023-10-25     14605
2023-10-26     10330
2023-10-27     3104
2023-10-28     11522
2023-10-29     5745
2023-10-30     1785
2023-10-31     3357
2023-11-01     13013
2023-11-02     2293
2023-11-03     1200
2023-11-04     10163
2023-11-05     3234
2023-11-06     1380
2023-11-07     1128
2023-11-08     13271
2023-11-09     7273
2023-11-10     14743
2023-11-11     10209
2023-11-12     4200
2023-11-13     9454
2023-11-14     4874
2023-11-15     9907
2023-11-16     1445
2023-11-17     6260
2023-11-18     2295
2023-11-19     2066
2023-11-20     5799
2023-11-21     4890
2023-11-22     3556
2023-11-23     7558
2023-11-24     13610
2023-11-25     12754
2023-11-26     10419
2023-11-27     13111
2023-11-28     9444
2023-11-29     1353
2023-11-30     9149
2023-12-01     12955
2023-12-02     5949
2023-12-03     11373
2023-12-04     9166
2023-12-05     7751
2023-12-06     4145
2023-12-07     3021
2023-12-08     3565
2023-12-09     6847
2023-12-10     14518
2023-12-11     2929
2023-12-12     9741
2023-12-13     1928
2023-12-14     10167
2023-12-15     7558
2023-12-16     2760
2023-12-17     9015
2023-12-18     12915
2023-12-19     4539
2023-12-20     11855
2023-12-21     13832
2023-12-22     10971
2023-12-23     3301
2023-12-24     5655
2023-12-25     8117
2023-12-26     8363
2023-12-27     7030
2023-12-28     9459
2023-12-29     14719
2023-12-30     11836
2023-12-31     3195
